Training Model from models.model7.laser_cae.AutoEncoder
Training Data from ../build/Results/Multirover_experts/10/
dataset of size: 100000
Test Data from ../build/Results/Multirover_experts/0/
testset of size: 10000

epoch [1/100], train loss:0.0188, test loss:0.0188
epoch [2/100], train loss:0.0113, test loss:0.0111
epoch [3/100], train loss:0.0095, test loss:0.0095
epoch [4/100], train loss:0.0087, test loss:0.0089
epoch [5/100], train loss:0.0084, test loss:0.0087
epoch [6/100], train loss:0.0078, test loss:0.0085
epoch [7/100], train loss:0.0083, test loss:0.0084
epoch [8/100], train loss:0.0086, test loss:0.0084
epoch [9/100], train loss:0.0085, test loss:0.0083
epoch [10/100], train loss:0.0077, test loss:0.0083
epoch [11/100], train loss:0.0085, test loss:0.0083
epoch [12/100], train loss:0.0084, test loss:0.0083
epoch [13/100], train loss:0.0076, test loss:0.0083
epoch [14/100], train loss:0.0084, test loss:0.0082
epoch [15/100], train loss:0.0086, test loss:0.0082
epoch [16/100], train loss:0.0080, test loss:0.0082
epoch [17/100], train loss:0.0086, test loss:0.0082
epoch [18/100], train loss:0.0080, test loss:0.0082
epoch [19/100], train loss:0.0076, test loss:0.0082
epoch [20/100], train loss:0.0087, test loss:0.0082
epoch [21/100], train loss:0.0081, test loss:0.0082
epoch [22/100], train loss:0.0080, test loss:0.0082
epoch [23/100], train loss:0.0078, test loss:0.0082
epoch [24/100], train loss:0.0077, test loss:0.0082
epoch [25/100], train loss:0.0077, test loss:0.0082
epoch [26/100], train loss:0.0077, test loss:0.0082
epoch [27/100], train loss:0.0084, test loss:0.0082
epoch [28/100], train loss:0.0077, test loss:0.0082
epoch [29/100], train loss:0.0084, test loss:0.0082
epoch [30/100], train loss:0.0078, test loss:0.0082
epoch [31/100], train loss:0.0091, test loss:0.0082
epoch [32/100], train loss:0.0083, test loss:0.0082
epoch [33/100], train loss:0.0082, test loss:0.0082
epoch [34/100], train loss:0.0086, test loss:0.0082
epoch [35/100], train loss:0.0085, test loss:0.0082
epoch [36/100], train loss:0.0086, test loss:0.0082
epoch [37/100], train loss:0.0078, test loss:0.0082
epoch [38/100], train loss:0.0083, test loss:0.0082
epoch [39/100], train loss:0.0083, test loss:0.0082
epoch [40/100], train loss:0.0076, test loss:0.0082
epoch [41/100], train loss:0.0085, test loss:0.0082
epoch [42/100], train loss:0.0077, test loss:0.0082
epoch [43/100], train loss:0.0077, test loss:0.0082
epoch [44/100], train loss:0.0076, test loss:0.0082
epoch [45/100], train loss:0.0083, test loss:0.0082
epoch [46/100], train loss:0.0082, test loss:0.0082
epoch [47/100], train loss:0.0081, test loss:0.0082
epoch [48/100], train loss:0.0088, test loss:0.0082
epoch [49/100], train loss:0.0087, test loss:0.0082
epoch [50/100], train loss:0.0083, test loss:0.0082
epoch [51/100], train loss:0.0087, test loss:0.0082
epoch [52/100], train loss:0.0084, test loss:0.0082
epoch [53/100], train loss:0.0082, test loss:0.0082
epoch [54/100], train loss:0.0081, test loss:0.0082
epoch [55/100], train loss:0.0081, test loss:0.0082
epoch [56/100], train loss:0.0072, test loss:0.0082
epoch [57/100], train loss:0.0078, test loss:0.0082
epoch [58/100], train loss:0.0089, test loss:0.0082
epoch [59/100], train loss:0.0082, test loss:0.0082
epoch [60/100], train loss:0.0089, test loss:0.0082
epoch [61/100], train loss:0.0089, test loss:0.0082
epoch [62/100], train loss:0.0077, test loss:0.0082
epoch [63/100], train loss:0.0077, test loss:0.0082
epoch [64/100], train loss:0.0083, test loss:0.0082
epoch [65/100], train loss:0.0081, test loss:0.0082
epoch [66/100], train loss:0.0079, test loss:0.0082
epoch [67/100], train loss:0.0084, test loss:0.0082
epoch [68/100], train loss:0.0083, test loss:0.0082
epoch [69/100], train loss:0.0082, test loss:0.0082
epoch [70/100], train loss:0.0085, test loss:0.0082
epoch [71/100], train loss:0.0080, test loss:0.0082
epoch [72/100], train loss:0.0086, test loss:0.0082
epoch [73/100], train loss:0.0079, test loss:0.0082
epoch [74/100], train loss:0.0081, test loss:0.0082
epoch [75/100], train loss:0.0078, test loss:0.0082
epoch [76/100], train loss:0.0080, test loss:0.0082
epoch [77/100], train loss:0.0080, test loss:0.0082
epoch [78/100], train loss:0.0082, test loss:0.0082
epoch [79/100], train loss:0.0089, test loss:0.0082
epoch [80/100], train loss:0.0086, test loss:0.0082
epoch [81/100], train loss:0.0088, test loss:0.0082
epoch [82/100], train loss:0.0085, test loss:0.0082
epoch [83/100], train loss:0.0088, test loss:0.0082
epoch [84/100], train loss:0.0081, test loss:0.0082
epoch [85/100], train loss:0.0081, test loss:0.0082
epoch [86/100], train loss:0.0084, test loss:0.0082
epoch [87/100], train loss:0.0078, test loss:0.0082
epoch [88/100], train loss:0.0079, test loss:0.0082
epoch [89/100], train loss:0.0081, test loss:0.0082
epoch [90/100], train loss:0.0079, test loss:0.0082
epoch [91/100], train loss:0.0080, test loss:0.0082
epoch [92/100], train loss:0.0086, test loss:0.0082
epoch [93/100], train loss:0.0083, test loss:0.0082
epoch [94/100], train loss:0.0080, test loss:0.0082
epoch [95/100], train loss:0.0083, test loss:0.0082
epoch [96/100], train loss:0.0081, test loss:0.0082
epoch [97/100], train loss:0.0083, test loss:0.0082
epoch [98/100], train loss:0.0079, test loss:0.0082
epoch [99/100], train loss:0.0080, test loss:0.0082
epoch [100/100], train loss:0.0080, test loss:0.0082
saved model to file models/model7/conv_autoencoder_new.pth
We would recommend you rename this model at asap to avoid overwriting.
